Type,CardText
Response,Never showering but also never smelling bad because of all the sandalwood paste.
Response,"The Yamuna river, but with liquid ghee instead of water."
Response,Temple security ninjas guarding the donation box.
Response,Third-eye beams from Lord Shiva.
Response,The third eye.
Response,No longer attending gurukula because I already memorized the entire Bhagavatam.
Response,No dhoti.
Response,Pranayama breath retention contest during japa.
Response,Not doing my assigned Bhakti Shastri homework.
Response,Not having a future to worry about because time is cyclical and this is Kali Yuga anyway.
Response,Not knowing what a mridanga is.
Response,Not wearing tilak.
Response,Not wiping the charanamrita off your hand.
Response,Shunya. Void. Nothing. The Mayavadi dream.
Response,"Nuclear war at the end of Dvapara Yuga, also known as the Brahmastra."
Response,Nunchucks made from rolling pins in the temple kitchen.
Response,Srila Prabhupada's arrival in America.
Response,Old Brijabasi's Steamy Hing Chutney.
Response,Old dried-out prasadam from three festivals ago.
Response,Elderly Vanaprastha devotees.
Response,One long sikha growing out of an otherwise bald head.
Response,One tough mataji who runs the whole Sunday Feast program solo.
Response,One weird-lookin' tulasi plant that just won't grow straight.
Response,Only dal. For every meal. Forever.
Response,Organized Varnashrama dharma.
Response,Govinda's Restaurant.
Response,Overthrowing the influence of Kali Yuga.
Response,Pantaloons from the Vedic textile shop.
Response,Paying a brahmachari five rupees to clean the pots for you.
Response,"Caranamrta, but purple."
Response,"Wee-wee on the temple floor, courtesy of a toddler during arati."
Response,Peeing in a glorious golden arc like a baby Krishna pastime painting.
Response,Accidentally peeing in your bead bag.
Response,Peeing in the Yamuna and then realizing it's sacred.
Response,Peeing in the ashram shower and hoping Paramatma didn't notice.
Response,Accidentally spilling water all over the altar.
Response,Peeing during japa and losing count.
Response,Passing kidney stones as austerity.
Response,Peer pressure to take initiation before you're ready.
Response,"Person milk, which is technically ahimsa."
Response,Putana's witch milk.
Response,That one prabhu who always keeps extra maha in his bead bag.
Response,"The sweet, sweet sound of the conchshell at 4:30 AM whether you like it or not."
Response,Picking my nose during japa and offering it to the tulasi plant.
Response,Piledriving my brother through the temple room floor during Damodarastakam.
Response,"Pingus Pongus, God of Ping Pong, defeated by Lord Jagannath in straight sets."
Response,Pink eye from rubbing my face on the vyasasana cushion.
Response,Kirtan music played on a pirate ship by Vaishnava buccaneers.
Response,Pizza prasadam with paneer instead of pepperoni.
Response,Copying someone else's Bhagavatam class word for word and pretending you realized it yourself.
Response,Playing trumpet for the temple president during Gaura Purnima.
Response,Plopping into the Yamuna with all my gopi sisters.
Response,Poison offered to Krishna by Putana.
Response,ISKCON politics.
Response,Poo-poo in the temple bathroom that someone forgot to flush before mangala-arati.
Response,Poop falling from the sky like the demons fell from Vaikuntha.
Response,"Chanting ""Poop poop poop"" on your japa beads because you forgot the maha-mantra."
Response,Pooping ekadasi beans forever.
Response,Pooping in a bag and leaving it outside the brahmachari ashram.
Response,Pooping in a laptop during an online Bhagavatam class and closing it.
Response,Pooping on the temple lawn and lighting it on fire and dancing around it like a Holi celebration.
Response,Pooping on the gurukula lawn.
Response,Pooping while running full speed to make it to mangala-arati on time.
Response,"Pork, which devotees have never even thought about because we were already vegetarian before that was cool."
Response,"Varuna, Lord of the Sea, who is basically just Poseidon's older, more qualified Vedic brother."
Response,"Possibly a burfi or maybe a turd, honestly hard to tell in the Sunday Feast line."
Response,Practicing kissing the Deities' lotus feet.
Response,Principal Duradhara dasa.
Response,"Whether to call Arjuna ""he"" or ""the supreme instrument of the Lord's will."""
Response,Going through brahmacharya puberty where your voice cracks during mangala-arati.
Response,Punching a beehive to collect honey for the Deities' abhisheka.
Response,Punching a clown right in the big pants because he was blocking the parikrama path.
Response,Punching a demon through a wall like Lord Narasimhadeva.
Response,"Punching every maya-influenced person in the material world, starting with myself."
Response,Pushing a halava pot around in a stroller because it's your baby now.
Response,Putting 22 tulasi leaves in my mouth during maha-prasadam.
Response,Putting an apple in Bakasura's mouth and roasting him for Krishna's dinner.
Response,Putting my brain into the body of Jambavan the bear king.
Response,Putting my head on the floor for dandavat pranams on absolutely everything.
Response,Putting on a dhoti and a chadar and going around distributing books to people.
Response,"Putting peanut butter on one chapati and jam on the other and calling it ""fusion prasadam."""
Response,Questioning the authority of self-appointed gurus on YouTube.
Response,Quitting the material world.
Response,"The rabies you get from petting one of Vrindavan's ""friendly"" monkeys."
Response,"Racism, sexism, and homophobia, none of which exist in the spiritual world because everyone is too busy being blissful."
Response,Raising an army of Timingila fish to attack the Golden Gate Bridge.
Response,"Raisins in the sweet rice, which is an act of violence."
Response,Rated-R stuff that definitely happened in the Kama Sutra but we don't talk about it in Bhagavatam class.
Response,"Ratzilla, the giant rat living behind the temple dumpster who has basically taken diksha at this point."
Response,Reading my god-sister's japa journal.
Response,Really bad Dad jokes from the temple president during Sunday Feast announcements.
Response,Rejecting modern society and living life as a sadhu in Vrindavan.
Response,Releasing the Garuda!
Response,"Respecting personal boundaries, which does not exist in Indian culture or at the temple."
Response,"Reverse mermaids â€” human legs, fish top â€” clearly a product of Lord Brahma's creative exhaustion."
Response,Rich people who come to the temple once a year on Janmashtami and donate exactly eleven dollars.
Response,Robbing a bank to fund the new temple construction project.
Response,The romance between Radha and Krishna that makes every Bollywood movie look pathetic.
Response,Rubbing ghee all over my body for an Ayurvedic treatment that definitely isn't real.
Response,Rubbing oil on Srila Prabhupada's murti.
Response,Ruining Gaura Purnima by eating grains.
Response,Running away from the temple ashram.
Response,Running full speed into a wall because you were reading while walking to the temple.
Response,Running through Govinda's restaurant naked.
Response,SILENCE IN THE TEMPLE ROOM!
Response,Sacrificing Uncle Tim's peace and quiet by moving a brahmachari ashram into his basement.
Response,The sadness of forgetting Krishna.
Response,"Salad, which is what you eat on ekadasi when the cook forgot to plan anything."
Response,"Salmon, which devotees definitely do not eat but will stare at longingly in the grocery store. Just kidding, no they won't."
Response,"Santa Claus, who is clearly just a demigod operating under the jurisdiction of Indra."
Response,"Satan, who doesn't exist in our philosophy but Kali Yuga is doing a pretty good impression."
Response,Saving up my pranami for ten years and then donating for the world's largest Jagannath Rath Yatra cart.
Response,"Saying ""Hare Krishna"" instead of ""I love you."""
Response,"Saying mean stuff to people and then adding ""but it's just transcendental"" to justify it."
Response,Gurukula.
Response,Sankhya philosophy.
Response,"Scratching my butt during japa and then sniffing my fingers, which is definitely tamo-guna."
Response,"Screaming ""I AM NARASIMHADEVA!"" and running around the temple chasing people."
Response,Screaming and screaming during the last round of Gaura-arati kirtan and never stopping.
Response,Screaming at the peacocks in Vrindavan at four in the morning.
Response,Screaming into a dented prasadam pot.
Response,"Screaming the F-word, which in ISKCON stands for ""Forget Krishna"" and is the worst obscenity."
Response,"Separating a baby cow from its mother, which is literally the worst thing in Vaishnava theology."
Response,Setting stuff on fire with your mystic yogic powers.
Response,Seventy-three identical temple cats who all showed up for prasadam.
Response,"Seymour Dhoti, the devotee whose cloth keeps falling off during kirtan."
Response,The shame of eating non-offered food.
Response,"Sharks with legs, which is definitely one of Brahma's 8,400,000 species."
Response,Makaras.
Response,Shaving Dad's back because he's taking brahmana initiation tomorrow.
Response,Shaving my sikha off with a cheese grater as an act of protest.
Response,Shirtless naga-babas at the Kumbha Mela.
Response,Shoplifting incense from the temple gift shop.
Response,Short dhotis.
Response,"Shouting ""Haribol!"""
Response,Shoving a fork into a power outlet because you confused it with prasadam somehow.
Response,Showgurt: the yogurt that makes you do spontaneous kirtan dancing.
Response,Showing everyone my pranama mantra tattoo.
Response,Hanuman.
Response,"Shutting up during Bhagavatam class, which has never happened once in ISKCON history."
Response,Noble silence during the japa period.
Response,"Sitting atop a pile of halava, like some kind of halava queen."
Response,Sitting on a cake that was supposed to be the Deity's birthday offering.
Response,Sitting on the temple toilet and chanting your rounds in there because it's the only quiet place.
Response,Slapping my huge belly after fourth-plate Sunday Feast.
Response,Slapping that mridanga.
Response,"Slappy Spatchy, the game where brahmacharis slap each other with chapati rollers."
Response,Slow internet in the Vrindavan ashram.
Response,Slowly turning into paneer through excessive prasadam consumption.
Response,Smashing the patriarchy by reminding everyone that Draupadi handled five husbands and a kingdom.
Response,"Smelling like onions, which means you're either a karmi or a very fallen devotee."
Response,Smooshing a samosa through a screen door.
Response,"Snakes, of which Ananta Shesha is the best and most devotional."
Response,Sneezing tulasi leaves out of my nose.
Response,"Sniffing a temple dog's butt, which is somehow less offensive than sniffing non-offered food."
Response,Snoop Dogg showing up to the temple and leaving as Snoop Govinda Dasa.
Response,Snot bubbles during an intense crying kirtan.
Response,Snot rockets launched during kartik morning walks in Vrindavan.
Response,Social media accounts run by devotees who post kirtan clips with way too many hashtags.
Response,Some freakin' privacy in the brahmachari ashram for once.
Response,Some kind of prasadam goblin that follows me around the temple asking for seconds.
Response,Some stinky woman who lives in the Yamuna and is probably a river goddess.
Response,"Some weird guy at the back of the temple room who's been ""visiting"" for eleven years."
Response,Soup prasadam.
Response,"Space lasers, which are basically just the Brahmastra but modern."
Response,Spawning cows in Goloka Vrindavan.
Response,Spending my parents' hard-earned money on maha-big-book orders.
Response,"Hanuman, who is basically Spider-Man but stronger, older, and a pure devotee."
Response,Spiders in the temple room that nobody wants to kill because ahimsa.
Response,Spinning and barfing during ecstatic kirtan.
Response,Charanamrita spit.
Response,Squealing like Varaha when He lifted the Earth.
Response,Squeezing a lemon into my eye as austerity for Kartik.
Response,Squirty paneer.
Response,Stank breath from chewing raw tulasi on an empty stomach at 4 AM.
Response,Stealing from the Laxmi collection box.
Response,Stealing a peacock from Vrindavan and taking it home in your bead bag.
Response,Stealing a temple van.
Response,"Stealing Deities from other temples, which actually has a long historical tradition in India."
Response,Stealing money from life members.
Response,Stealing people's money and going to gurukula detention.
Response,Stealing people's karatalas.
Response,"Steven Universe, who is clearly on a journey of bhakti whether he knows it or not."
Response,Stinking up the whole temple van on the way back from harinama.
Response,"Stinky Madhavi, the book distributor that nobody wants to stand next to."
Response,"Stress, which Arjuna invented on the battlefield of Kurukshetra."
Response,Maya.
Response,Stuffing my dhoti with laddu.
Response,Sucking at mridanga.
Response,Sucking at devotional life.
Response,Sucking at all sixteen rounds.
Response,"Supreme Court Justice Ruth Bader Ginsburg, who exhibited the determination of Prahlada Maharaja."
Response,Swallowing a bunch of tulasi seeds and shooting them out like a bead bag machine gun.
Response,"Kartavirya Arjuna's thousand arms, each holding a sword."
Response,LEADING KIRTAN WAY TOO LOUD AT 4:30 AM.
Response,THE SUDARSHANA CHAKRA!
Response,Leaving a pile of half-chewed maha in the hallway and blaming it on the temple cat.
Response,Dropping my bead bag in the Radha Kunda.
Response,Leaving a plate of maha on the vyasasana when no one's looking.
Response,Taking a selfie with the Deities during darshan arati.
Response,Trying to get the third eye to open by literally pulling my eyelids apart.
Response,Talking to the Jagannath Deities about my relationship problems.
Response,Tasty yum-yums for my prasadam hole.
Response,Not reporting my Laxmi donations to the IRS.
Response,Book distribution without a temple president's authorization.
Response,Teaching a peacock to attack maya.
Response,The entire fourth canto of the Bhagavatam.
Response,Teeny tiny balls of paneer stuck to the bottom of the wok.
Response,Kamsa's secret police.
Response,Hiranyakashipu.
Response,That there Narasimhadeva emerging from the pillar.
Response,The British soldiers who arrested Srila Bhaktivinoda Thakura's associates.
Response,Kali personified.
Response,The Bhagavad Gita As It Is.
Response,The head pujari.
Response,The Saraswata Gaudiya Vaishnavas.
Response,The underground network that smuggled Srila Prabhupada's books into the Soviet Union.
Response,The ratha-yatra cart that keeps losing a wheel.
Response,The crocodile that grabbed Gajendra's leg.
Response,The answers to tomorrow's Bhakti Shastri exam.
Response,Baby Krishna.
Response,The brahmachari left in charge of the gurukula kids.
Response,The halava.
Response,The beautiful subjis made from a single potato.
Response,The big parachute-sized chadar Grandfather Bhishma was lying on.
Response,The biggest serving spoon you ever saw at the Sunday Feast.
Response,The bold flavor and big crunch of Govinda's Simply Wonderfuls.
Response,The temple van driver.
Response,The vyasasana.
Response,The holy land of Vrindavan.
Response,The devotee who insists on checking your tongue for hari-nama residue.
Response,The massive pile of Sunday Feast dishes.
Response,The time the temple president and the head pujari stopped speaking to each other.
Response,The Jagannath Deity whose eyes follow you everywhere.
Response,The peacock who eats grains out of Krishna's hand.
Response,The entire state of West Bengal.
Response,The fattest temple cat Mayapur has ever known.
Response,The second-year gurukula students.
Response,The first female GBC member.
Response,The cold marble floor during Mangala Arati.
Response,The freedom to chant Hare Krishna in any country.
Response,The brahmachari on garbage seva.
Response,The mataji who defeated me in a Bhagavatam verse memorization contest.
Response,"The gluteus maximus, which is just a body made of maya anyway."
Response,The goat-legged mystic yogi who lives in a Himalayan cave.
Response,The GBC.
Response,The yoga teacher who showed up to a kirtan and never left.
Response,"The huge, stupid Rahu swallowing the moon."
Response,The humble earthworm in the compost behind the temple kitchen.
Response,The Sweet Rice Walla outside the Jagannath temple.
Response,The devotee on bathroom cleaning seva.
Response,"The longest tongue in the world, belonging to Lord Narasimhadeva."
Response,"The loose sikha at the back of a brahmachari's freshly shaved head, known as ""the antenna to Krishna."""
Response,The Sunday Feast serving mataji who decides your portion size.
Response,Kali Yuga's middle finger.
Response,The octopus-shaped deep-fried pakora stuck to my plate.
Response,The old sadhu with the japa bag who lives down the dark and winding gali in Vrindavan.
Response,The oppressive system of the varnashrama gone wrong.
Response,"The Vrindavan monkeys, who are the real police."
Response,The power of the three modes of material nature.
Response,The president of the Bhaktivedanta Book Trust.
Response,The temple president.
Response,The samosa police at the Sunday Feast line.
Response,"The Hare Krishna maha mantra that never ends, it just goes on and on, my friends."
Response,The sweet honking of Mataji's harmonium that desperately needs tuning.
Response,The terrible winter of 1976 when Srila Prabhupada's heater broke in New York.
Response,The way Gurudeva's room smells like sandalwood and old books.
Response,The way I feel when I see the Deities after the curtains open.
Response,The wettest khichri you ever heard hit a plate.
Response,The whole grihastha family showing up thirty minutes late to Mangala Arati.
Response,"Rukmini Devi, whom Krishna married by kidnapping her on a chariot."
Response,Drama kids at the Janmashtami festival.
Response,Devotee counselor meetings.
Response,"Thick, nasty burps from too much feast prasadam."
Response,This big danda.
Response,"This cow, who is my mother."
Response,This here pile of Govardhan shila remnants mixed with panchamrita.
Response,This pumpkin subji that somehow appeared in every Sunday Feast for six months.
Response,This stupid Cards Against Maya game.
Response,"Kaupins, the underwear that goes up your transcendental rear."
Response,Thousands of sabjis.
Response,Three glasses of hot milk with turmeric at the wrong time.
Response,Throwing a water balloon full of colored dye at the temple president during Holi.
Response,Throwing Simply Wonderfuls at passing karmis.
Response,Throwing flowers at the Deities during pushpa-abhisheka.
Response,Throwing maha at other maha during a prasadam fight.
Response,Throwing up double kartals with my besties at Govinda's Restaurant.
Response,"Throwing your guru's slippers on the vyasasana and yelling, ""Now I am guru!"""
Response,Tickling the pujari 'til he drops the ghee lamp.
Response,ISKCON Desire Tree.
Response,Toe jam from doing parikrama barefoot in Vrindavan.
Response,The block of tofu that materialists think devotees survive on.
Response,Toilet cobras in the Mayapur bathroom.
Response,"Tompkins Square Park, the talking birthplace of the Hare Krishna movement."
Response,Gopi-prema.
Response,Tossed sabji and scrambled paneer.
Response,Total prajalpa.
Response,Total Vaikuntha domination.
Response,Touching the feet of a pure devotee.
Response,Transferring my consciousness into a sacred cow at Goshalla.
Response,Tulasi trees.
Response,The three modes of material nature.
Response,True love's kiss between Radha and Krishna on the banks of the Yamuna.
Response,Trying really hard not to cry during the departure kirtan.
Response,Trying to catch that dang Vrindavan monkey who stole my glasses.
Response,"Tulasi nectar, the nectar that comes out of a Tulasi bath."
Response,Turning 108.
Response,Dancing in kirtan so hard your dhoti falls off.
Response,Two conchshells.
Response,Uncle Nanda Maharaja.
Response,Not having a temple service assignment.
Response,Unleashing a Narasimhadeva that will destroy all demons.
Response,"The planet of Uranus, which is also in the material world and therefore temporary."
Response,Using water balloons as karatalas.
Response,Using my danda as a back scratcher.
Response,Burning camphor during arati and pretending it's vaping.
Response,Violating the Deity dress code by putting sunglasses on Jagannath.
Response,The Kurukshetra war.
Response,Violent descriptions in the ninth canto.
Response,"Kali personified, the dark lord of this age."
Response,"Vomiting with transcendental ecstasy, which is one of the eight symptoms of prema."
Response,KURUKSHETRA!
Response,Dwaraka.
Response,Waking up inside a mosquito net in Mayapur and finding a lizard on your face.
Response,"Walking around with a big magnifying glass examining tilak marks going ""hmmmmm."""
Response,Ashvatthama's crimes against the Pandava children.
Response,Philosophical war with the Mayavadis.
Response,Taking a proper bath in the Ganges before Mangala Arati.
Response,Watching you offer your bhoga.
Response,Ganges water.
Response,Wearing a turban and talking like a Vrindavan Brijbasi.
Response,Wearing a wig and dancing as a gopi in the Janmashtami drama.
Response,Wearing Vaishnava tilak and sounding like you've read every purport.
Response,Wearing wooden padukas.
Response,Whatever the grihastha breadwinner does at their karmi job.
Response,"Whispering secrets to my best friend, Surabhi the cow."
Response,"Krishna doesn't care, and neither do I."
Response,Wiping my feet before entering the temple room.
Response,Mystic yoga siddhis used for the wrong reasons.
Response,Seva.
Response,"Ashtanga yoga, which is actually just the beginning."
Response,"You, the eternal spirit soul."
Response,Your four-armed form.
Response,Your maya!
Response,Zipping my little godbrother into a sleeping bag at the brahmachari ashram.
